file,start_time,end_time
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,24.0,25.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,25.2,26.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,26.4,27.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,27.6,28.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,28.8,30.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,30.0,31.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,31.2,32.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,32.4,33.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,33.6,34.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,34.8,36.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,36.0,37.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,37.2,38.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,38.4,39.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,39.6,40.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,40.8,42.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,42.0,43.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,43.2,44.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,44.4,45.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,45.6,46.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,46.8,48.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,48.0,49.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,49.2,50.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,50.4,51.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,51.6,52.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,52.8,54.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,54.0,55.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,55.2,56.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,56.4,57.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,57.6,58.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,58.8,60.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,60.0,61.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,61.2,62.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,62.4,63.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,63.6,64.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,64.8,66.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,66.0,67.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,67.2,68.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,68.4,69.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,69.6,70.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,70.8,72.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,72.0,73.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,73.2,74.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,74.4,75.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,75.6,76.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,76.8,78.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,78.0,79.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,79.2,80.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,80.4,81.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,81.6,82.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,82.8,84.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,84.0,85.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,85.2,86.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,86.4,87.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,87.6,88.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,88.8,90.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,90.0,91.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,91.2,92.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,92.4,93.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,93.6,94.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,94.8,96.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,96.0,97.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,97.2,98.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,98.4,99.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,99.6,100.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,100.8,102.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,102.0,103.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,103.2,104.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,104.4,105.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,105.6,106.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,106.8,108.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,108.0,109.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,109.2,110.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,110.4,111.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,111.6,112.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,112.8,114.0
